noise,coupling,cluster
0.0,0.0,2
0.0,0.005,3
0.0,0.01,3
0.0,0.015,3
0.0,0.02,3
0.0,0.025,1
0.0,0.03,1
0.0,0.035,1
0.0,0.04,4
0.0,0.045,4
0.0,0.05,3
0.0,0.055,3
0.0,0.06,3
0.0,0.065,3
0.0,0.07,3
0.0,0.075,3
0.0,0.08,3
0.0,0.085,3
0.0,0.09,3
0.0,0.095,3
0.0,0.1,3
0.0,0.105,3
0.0,0.11,3
0.0,0.115,3
0.0,0.12,3
0.0,0.125,3
0.0,0.13,3
0.0,0.135,3
0.0,0.14,3
0.0,0.145,3
0.0,0.15,3
0.0,0.155,3
0.0,0.16,3
0.0,0.165,3
0.0,0.17,3
0.0,0.175,3
0.0,0.18,3
0.0,0.185,3
0.0,0.19,3
0.0,0.195,3
0.0,0.2,3
0.0001,0.0,2
0.0001,0.005,3
0.0001,0.01,3
0.0001,0.015,3
0.0001,0.02,1
0.0001,0.025,1
0.0001,0.03,1
0.0001,0.035,1
0.0001,0.04,3
0.0001,0.045,4
0.0001,0.05,3
0.0001,0.055,3
0.0001,0.06,3
0.0001,0.065,3
0.0001,0.07,3
0.0001,0.075,3
0.0001,0.08,3
0.0001,0.085,3
0.0001,0.09,3
0.0001,0.095,3
0.0001,0.1,3
0.0001,0.105,3
0.0001,0.11,3
0.0001,0.115,3
0.0001,0.12,3
0.0001,0.125,3
0.0001,0.13,3
0.0001,0.135,3
0.0001,0.14,3
0.0001,0.145,3
0.0001,0.15,3
0.0001,0.155,3
0.0001,0.16,3
0.0001,0.165,3
0.0001,0.17,3
0.0001,0.175,3
0.0001,0.18,3
0.0001,0.185,3
0.0001,0.19,3
0.0001,0.195,3
0.0001,0.2,3
0.0002,0.0,2
0.0002,0.005,2
0.0002,0.01,2
0.0002,0.015,3
0.0002,0.02,1
0.0002,0.025,1
0.0002,0.03,1
0.0002,0.035,1
0.0002,0.04,2
0.0002,0.045,3
0.0002,0.05,3
0.0002,0.055,3
0.0002,0.06,3
0.0002,0.065,3
0.0002,0.07,3
0.0002,0.075,3
0.0002,0.08,3
0.0002,0.085,3
0.0002,0.09,3
0.0002,0.095,3
0.0002,0.1,3
0.0002,0.105,3
0.0002,0.11,3
0.0002,0.115,3
0.0002,0.12,3
0.0002,0.125,3
0.0002,0.13,3
0.0002,0.135,3
0.0002,0.14,3
0.0002,0.145,3
0.0002,0.15,3
0.0002,0.155,3
0.0002,0.16,3
0.0002,0.165,3
0.0002,0.17,3
0.0002,0.175,3
0.0002,0.18,3
0.0002,0.185,3
0.0002,0.19,3
0.0002,0.195,3
0.0002,0.2,3
0.0004,0.0,2
0.0004,0.005,2
0.0004,0.01,2
0.0004,0.015,2
0.0004,0.02,2
0.0004,0.025,1
0.0004,0.03,1
0.0004,0.035,1
0.0004,0.04,4
0.0004,0.045,4
0.0004,0.05,3
0.0004,0.055,2
0.0004,0.06,3
0.0004,0.065,3
0.0004,0.07,3
0.0004,0.075,3
0.0004,0.08,3
0.0004,0.085,3
0.0004,0.09,3
0.0004,0.095,3
0.0004,0.1,3
0.0004,0.105,3
0.0004,0.11,3
0.0004,0.115,3
0.0004,0.12,3
0.0004,0.125,3
0.0004,0.13,3
0.0004,0.135,3
0.0004,0.14,3
0.0004,0.145,3
0.0004,0.15,3
0.0004,0.155,3
0.0004,0.16,3
0.0004,0.165,3
0.0004,0.17,3
0.0004,0.175,3
0.0004,0.18,3
0.0004,0.185,3
0.0004,0.19,3
0.0004,0.195,3
0.0004,0.2,3
0.0006,0.0,2
0.0006,0.005,2
0.0006,0.01,2
0.0006,0.015,2
0.0006,0.02,1
0.0006,0.025,1
0.0006,0.03,1
0.0006,0.035,1
0.0006,0.04,2
0.0006,0.045,4
0.0006,0.05,2
0.0006,0.055,2
0.0006,0.06,2
0.0006,0.065,3
0.0006,0.07,2
0.0006,0.075,2
0.0006,0.08,3
0.0006,0.085,3
0.0006,0.09,3
0.0006,0.095,3
0.0006,0.1,3
0.0006,0.105,3
0.0006,0.11,3
0.0006,0.115,3
0.0006,0.12,3
0.0006,0.125,3
0.0006,0.13,3
0.0006,0.135,3
0.0006,0.14,3
0.0006,0.145,3
0.0006,0.15,3
0.0006,0.155,3
0.0006,0.16,3
0.0006,0.165,3
0.0006,0.17,3
0.0006,0.175,3
0.0006,0.18,3
0.0006,0.185,3
0.0006,0.19,3
0.0006,0.195,3
0.0006,0.2,3
0.0008,0.0,0
0.0008,0.005,2
0.0008,0.01,2
0.0008,0.015,2
0.0008,0.02,1
0.0008,0.025,1
0.0008,0.03,1
0.0008,0.035,1
0.0008,0.04,4
0.0008,0.045,4
0.0008,0.05,4
0.0008,0.055,4
0.0008,0.06,2
0.0008,0.065,2
0.0008,0.07,2
0.0008,0.075,2
0.0008,0.08,2
0.0008,0.085,3
0.0008,0.09,2
0.0008,0.095,2
0.0008,0.1,3
0.0008,0.105,3
0.0008,0.11,3
0.0008,0.115,3
0.0008,0.12,3
0.0008,0.125,3
0.0008,0.13,3
0.0008,0.135,3
0.0008,0.14,3
0.0008,0.145,3
0.0008,0.15,3
0.0008,0.155,3
0.0008,0.16,3
0.0008,0.165,3
0.0008,0.17,3
0.0008,0.175,3
0.0008,0.18,3
0.0008,0.185,3
0.0008,0.19,3
0.0008,0.195,3
0.0008,0.2,3
0.001,0.0,0
0.001,0.005,2
0.001,0.01,2
0.001,0.015,2
0.001,0.02,1
0.001,0.025,1
0.001,0.03,1
0.001,0.035,1
0.001,0.04,2
0.001,0.045,4
0.001,0.05,2
0.001,0.055,4
0.001,0.06,2
0.001,0.065,2
0.001,0.07,2
0.001,0.075,2
0.001,0.08,2
0.001,0.085,2
0.001,0.09,2
0.001,0.095,2
0.001,0.1,3
0.001,0.105,2
0.001,0.11,3
0.001,0.115,3
0.001,0.12,2
0.001,0.125,2
0.001,0.13,3
0.001,0.135,2
0.001,0.14,3
0.001,0.145,3
0.001,0.15,3
0.001,0.155,3
0.001,0.16,3
0.001,0.165,3
0.001,0.17,3
0.001,0.175,3
0.001,0.18,3
0.001,0.185,3
0.001,0.19,3
0.001,0.195,3
0.001,0.2,3
0.0012,0.0,0
0.0012,0.005,2
0.0012,0.01,2
0.0012,0.015,2
0.0012,0.02,1
0.0012,0.025,1
0.0012,0.03,1
0.0012,0.035,1
0.0012,0.04,1
0.0012,0.045,4
0.0012,0.05,4
0.0012,0.055,2
0.0012,0.06,2
0.0012,0.065,2
0.0012,0.07,2
0.0012,0.075,2
0.0012,0.08,2
0.0012,0.085,2
0.0012,0.09,2
0.0012,0.095,2
0.0012,0.1,2
0.0012,0.105,2
0.0012,0.11,2
0.0012,0.115,3
0.0012,0.12,2
0.0012,0.125,3
0.0012,0.13,2
0.0012,0.135,2
0.0012,0.14,2
